OrderID,CustomerID,OrderAmount,OrderDate
O000125,C0125,2175.26,2024-05-04
O000126,C0126,2192.68,2024-05-05
O000127,C0127,2209.85,2024-05-06
O000128,C0128,2226.26,2024-05-07
O000129,C0129,2243.59,2024-05-08
O000130,C0130,2260.36,2024-05-09
O000131,C0131,2277.24,2024-05-10
O000132,C0132,2294.29,2024-05-11
O000133,C0133,2311.2,2024-05-12
O000134,C0134,2328.35,2024-05-13
O000135,C0135,2345.04,2024-05-14
O000136,C0136,2362.4,2024-05-15
O000137,C0137,2379.09,2024-05-16
O000138,C0138,2396.76,2024-05-17
O000139,C0139,2413.6,2024-05-18
O000140,C0140,2430.0,2024-05-19
O000141,C0141,2447.77,2024-05-20
O000142,C0142,2464.19,2024-05-21
O000143,C0143,2481.48,2024-05-22
O000144,C0144,2498.55,2024-05-23
O000145,C0145,2515.33,2024-05-24
O000146,C0146,2532.29,2024-05-25
O000147,C0147,2549.43,2024-05-26
O000148,C0148,2566.14,2024-05-27
O000149,C0149,2583.86,2024-05-28
O000150,C0150,2600.11,2024-05-29
O000151,C0151,2617.82,2024-05-30
O000152,C0152,2634.22,2024-05-31
O000153,C0153,2651.3,2024-06-01
O000154,C0154,2668.39,2024-06-02
O000155,C0155,2685.03,2024-06-03
O000156,C0156,2702.13,2024-06-04
O000157,C0157,2719.36,2024-06-05
O000158,C0158,2736.44,2024-06-06
O000159,C0159,2753.88,2024-06-07
O000160,C0160,2770.99,2024-06-08
O000161,C0161,2787.04,2024-06-09
O000162,C0162,2804.54,2024-06-10
O000163,C0163,2821.13,2024-06-11
O000164,C0164,2838.8,2024-06-12
O000165,C0165,2855.32,2024-06-13
O000166,C0166,2872.89,2024-06-14
O000167,C0167,2889.55,2024-06-15
O000168,C0168,2906.13,2024-06-16
O000169,C0169,2923.0,2024-06-17
O000170,C0170,2940.25,2024-06-18
O000171,C0171,2957.87,2024-06-19
O000172,C0172,2974.15,2024-06-20
O000173,C0173,2991.48,2024-06-21
O000174,C0174,3008.37,2024-06-22
O000175,C0175,3025.34,2024-06-23
O000176,C0176,3042.8,2024-06-24
O000177,C0177,3059.21,2024-06-25
O000178,C0178,3076.72,2024-06-26
O000179,C0179,3093.67,2024-06-27
O000180,C0180,3110.94,2024-06-28
O000181,C0181,3127.52,2024-06-29
O000182,C0182,3144.92,2024-06-30
O000183,C0183,3161.44,2024-07-01
O000184,C0184,3178.57,2024-07-02
O000185,C0185,3195.62,2024-07-03
O000186,C0186,3212.84,2024-07-04
O000187,C0187,3229.9,2024-07-05
O000188,C0188,3246.12,2024-07-06
O000189,C0189,3263.14,2024-07-07
O000190,C0190,3280.53,2024-07-08
O000191,C0191,3297.81,2024-07-09
O000192,C0192,3314.53,2024-07-10
O000193,C0193,3331.3,2024-07-11
O000194,C0194,3348.96,2024-07-12
O000195,C0195,3365.3,2024-07-13
O000196,C0196,3382.09,2024-07-14
O000197,C0197,3399.05,2024-07-15
O000198,C0198,3416.03,2024-07-16
O000199,C0199,3433.73,2024-07-17
O000200,C0200,3450.11,2024-07-18
O000201,C0201,3467.72,2024-07-19
O000202,C0202,3484.87,2024-07-20
O000203,C0203,3502.0,2024-07-21
O000204,C0204,3518.81,2024-07-22
O000205,C0205,3535.42,2024-07-23
O000206,C0206,3552.62,2024-07-24
O000207,C0207,3569.83,2024-07-25
O000208,C0208,3586.72,2024-07-26
O000209,C0209,3603.29,2024-07-27
O000210,C0210,3620.76,2024-07-28
O000211,C0211,3637.11,2024-07-29
O000212,C0212,3654.31,2024-07-30
O000213,C0213,3672.0,2024-07-31
O000214,C0214,3688.47,2024-08-01
O000215,C0215,3705.27,2024-08-02
O000216,C0216,3722.78,2024-08-03
O000217,C0217,3739.45,2024-08-04
O000218,C0218,3756.0,2024-08-05
O000219,C0219,3773.03,2024-08-06
O000220,C0220,3790.26,2024-08-07
O000221,C0221,3807.33,2024-08-08
O000222,C0222,3824.94,2024-08-09
O000223,C0223,3841.25,2024-08-10
O000224,C0224,3858.85,2024-08-11
O000225,C0225,3875.85,2024-08-12
O000226,C0226,3892.42,2024-08-13
O000227,C0227,3909.99,2024-08-14
O000228,C0228,3926.76,2024-08-15
O000229,C0229,3943.48,2024-08-16
O000230,C0230,3960.26,2024-08-17
O000231,C0231,3977.46,2024-08-18
O000232,C0232,3994.9,2024-08-19
O000233,C0233,4011.54,2024-08-20
O000234,C0234,4028.19,2024-08-21
O000235,C0235,4045.38,2024-08-22
O000236,C0236,4062.48,2024-08-23
O000237,C0237,4079.19,2024-08-24
O000238,C0238,4096.57,2024-08-25
O000239,C0239,4113.03,2024-08-26
O000240,C0240,4130.82,2024-08-27
O000241,C0241,4147.18,2024-08-28
O000242,C0242,4164.1,2024-08-29
O000243,C0243,4181.59,2024-08-30
O000244,C0244,4198.31,2024-08-31
O000245,C0245,4215.89,2024-09-01
O000246,C0246,4232.5,2024-09-02
O000247,C0247,4249.52,2024-09-03
O000248,C0248,4266.83,2024-09-04
O000249,C0249,4283.21,2024-09-05
O000250,C0250,4300.75,2024-09-06
O000251,C0251,4317.65,2024-09-07
O000252,C0252,4334.43,2024-09-08
O000253,C0253,4351.96,2024-09-09
O000254,C0254,4368.02,2024-09-10
O000255,C0255,4385.86,2024-09-11
O000256,C0256,4402.14,2024-09-12
O000257,C0257,4419.84,2024-09-13
O000258,C0258,4436.15,2024-09-14
O000259,C0259,4453.05,2024-09-15
O000260,C0260,4470.5,2024-09-16
O000261,C0261,4487.93,2024-09-17
O000262,C0262,4504.26,2024-09-18
O000263,C0263,4521.49,2024-09-19
O000264,C0264,4538.61,2024-09-20
O000265,C0265,4555.24,2024-09-21
O000266,C0266,4572.53,2024-09-22
O000267,C0267,4589.01,2024-09-23
O000268,C0268,4606.45,2024-09-24
O000269,C0269,4623.76,2024-09-25
O000270,C0270,4640.34,2024-09-26
O000271,C0271,4657.22,2024-09-27
O000272,C0272,4674.05,2024-09-28
O000273,C0273,4691.7,2024-09-29
O000274,C0274,4708.43,2024-09-30
O000275,C0275,4725.91,2024-10-01
O000276,C0276,4742.74,2024-10-02
O000277,C0277,4759.1,2024-10-03
O000278,C0278,4776.91,2024-10-04
O000279,C0279,4793.93,2024-10-05
O000280,C0280,4810.82,2024-10-06
O000281,C0281,4827.83,2024-10-07
O000282,C0282,4844.68,2024-10-08
O000283,C0283,4861.72,2024-10-09
O000284,C0284,4878.67,2024-10-10
O000285,C0285,4895.59,2024-10-11
O000286,C0286,4912.26,2024-10-12
O000287,C0287,4929.13,2024-10-13
O000288,C0288,4946.73,2024-10-14
O000289,C0289,4963.6,2024-10-15
O000290,C0290,4980.06,2024-10-16
O000291,C0291,4997.64,2024-10-17
O000292,C0292,64.61,2024-10-18
O000293,C0293,81.51,2024-10-19
O000294,C0294,98.78,2024-10-20
O000295,C0295,115.88,2024-10-21
O000296,C0296,132.38,2024-10-22
O000297,C0297,149.81,2024-10-23
O000298,C0298,166.5,2024-10-24
O000299,C0299,183.57,2024-10-25
O000300,C0300,200.41,2024-10-26
O000301,C0301,217.93,2024-10-27
O000302,C0302,234.44,2024-10-28
O000303,C0303,251.95,2024-10-29
O000304,C0304,268.34,2024-10-30
O000305,C0305,285.67,2024-10-31
O000306,C0306,302.91,2024-11-01
O000307,C0307,319.68,2024-11-02
O000308,C0308,336.38,2024-11-03
O000309,C0309,353.08,2024-11-04
O000310,C0310,370.48,2024-11-05
O000311,C0311,387.41,2024-11-06
O000312,C0312,404.81,2024-11-07
O000313,C0313,421.78,2024-11-08
O000314,C0314,438.99,2024-11-09
O000315,C0315,455.45,2024-11-10
O000316,C0316,472.41,2024-11-11
O000317,C0317,489.56,2024-11-12
O000318,C0318,506.75,2024-11-13
O000319,C0319,523.08,2024-11-14
O000320,C0320,540.22,2024-11-15
O000321,C0321,557.15,2024-11-16
O000322,C0322,574.32,2024-11-17
O000323,C0323,591.3,2024-11-18
O000324,C0324,608.97,2024-11-19
O000325,C0325,625.21,2024-11-20
O000326,C0326,642.93,2024-11-21
O000327,C0327,659.29,2024-11-22
O000328,C0328,676.2,2024-11-23
O000329,C0329,693.97,2024-11-24
O000330,C0330,710.09,2024-11-25
O000331,C0331,727.11,2024-11-26
O000332,C0332,744.13,2024-11-27
O000333,C0333,761.07,2024-11-28
O000334,C0334,778.39,2024-11-29
O000335,C0335,795.21,2024-11-30
O000336,C0336,812.16,2024-12-01
O000337,C0337,829.02,2024-12-02
O000338,C0338,846.7,2024-12-03
O000339,C0339,863.05,2024-12-04
O000340,C0340,880.23,2024-12-05
O000341,C0341,897.57,2024-12-06
O000342,C0342,914.88,2024-12-07
O000343,C0343,931.66,2024-12-08
O000344,C0344,948.71,2024-12-09
O000345,C0345,965.7,2024-12-10
O000346,C0346,982.8,2024-12-11
O000347,C0347,999.85,2024-12-12
O000348,C0348,1016.16,2024-12-13
O000349,C0349,1033.05,2024-12-14
O000350,C0350,1050.62,2024-12-15
O000351,C0351,1067.52,2024-12-16
O000352,C0352,1084.52,2024-12-17
O000353,C0353,1101.78,2024-12-18
O000354,C0354,1118.17,2024-12-19
O000355,C0355,1135.71,2024-12-20
O000356,C0356,1152.43,2024-12-21
O000357,C0357,1169.42,2024-12-22
O000358,C0358,1186.24,2024-12-23
O000359,C0359,1203.28,2024-12-24
O000360,C0360,1220.58,2024-12-25
O000361,C0361,1237.55,2024-12-26
O000362,C0362,1254.91,2024-12-27
O000363,C0363,1271.28,2024-12-28
O000364,C0364,1288.72,2024-12-29
O000365,C0365,1305.1,2024-12-30
O000366,C0366,1322.65,2024-01-01
O000367,C0367,1339.16,2024-01-02
O000368,C0368,1356.86,2024-01-03
O000369,C0369,1373.97,2024-01-04
O000370,C0370,1390.25,2024-01-05
O000371,C0371,1407.81,2024-01-06
O000372,C0372,1424.22,2024-01-07
O000373,C0373,1441.31,2024-01-08
O000374,C0374,1458.1,2024-01-09
O000375,C0375,1475.44,2024-01-10
O000376,C0376,1492.1,2024-01-11
O000377,C0377,1509.7,2024-01-12
O000378,C0378,1526.58,2024-01-13
O000379,C0379,1543.42,2024-01-14
O000380,C0380,1560.71,2024-01-15
O000381,C0381,1577.23,2024-01-16
O000382,C0382,1594.33,2024-01-17
O000383,C0383,1611.36,2024-01-18
O000384,C0384,1628.0,2024-01-19
O000385,C0385,1645.89,2024-01-20
O000386,C0386,1662.09,2024-01-21
O000387,C0387,1679.1,2024-01-22
O000388,C0388,1696.8,2024-01-23
O000389,C0389,1713.82,2024-01-24
O000390,C0390,1730.45,2024-01-25
O000391,C0391,1747.42,2024-01-26
O000392,C0392,1764.14,2024-01-27
O000393,C0393,1781.0,2024-01-28
O000394,C0394,1798.52,2024-01-29
O000395,C0395,1815.24,2024-01-30
O000396,C0396,1832.15,2024-01-31
O000397,C0397,1849.91,2024-02-01
O000398,C0398,1866.02,2024-02-02
O000399,C0399,1883.36,2024-02-03
O000400,C0400,1900.75,2024-02-04
O000401,C0401,1917.75,2024-02-05
O000402,C0402,1934.11,2024-02-06
O000403,C0403,1951.74,2024-02-07
O000404,C0404,1968.56,2024-02-08
O000405,C0405,1985.63,2024-02-09
O000406,C0406,2002.94,2024-02-10
O000407,C0407,2019.8,2024-02-11
O000408,C0408,2036.6,2024-02-12
O000409,C0409,2053.77,2024-02-13
O000410,C0410,2070.49,2024-02-14
O000411,C0411,2087.55,2024-02-15
O000412,C0412,2104.82,2024-02-16
O000413,C0413,2121.62,2024-02-17
O000414,C0414,2138.38,2024-02-18
O000415,C0415,2155.02,2024-02-19
O000416,C0416,2172.79,2024-02-20
O000417,C0417,2189.34,2024-02-21
O000418,C0418,2206.43,2024-02-22
O000419,C0419,2223.29,2024-02-23
O000420,C0420,2240.56,2024-02-24
O000421,C0421,2257.4,2024-02-25
O000422,C0422,2274.83,2024-02-26
O000423,C0423,2291.59,2024-02-27
O000424,C0424,2308.56,2024-02-28
O000425,C0425,2325.78,2024-02-29
O000426,C0426,2342.44,2024-03-01
O000427,C0427,2359.54,2024-03-02
O000428,C0428,2376.75,2024-03-03
O000429,C0429,2393.72,2024-03-04
O000430,C0430,2410.74,2024-03-05
O000431,C0431,2427.89,2024-03-06
O000432,C0432,2444.56,2024-03-07
O000433,C0433,2461.56,2024-03-08
O000434,C0434,2478.19,2024-03-09
O000435,C0435,2495.24,2024-03-10
O000436,C0436,2512.43,2024-03-11
O000437,C0437,2529.5,2024-03-12
O000438,C0438,2546.9,2024-03-13
O000439,C0439,2563.04,2024-03-14
O000440,C0440,2580.35,2024-03-15
O000441,C0441,2597.74,2024-03-16
O000442,C0442,2614.46,2024-03-17
O000443,C0443,2631.85,2024-03-18
O000444,C0444,2648.16,2024-03-19
O000445,C0445,2665.77,2024-03-20
O000446,C0446,2682.43,2024-03-21
O000447,C0447,2699.57,2024-03-22
O000448,C0448,2716.06,2024-03-23
O000449,C0449,2733.4,2024-03-24
O000450,C0450,2750.8,2024-03-25
O000451,C0451,2767.74,2024-03-26
O000452,C0452,2784.56,2024-03-27
O000453,C0453,2801.42,2024-03-28
O000454,C0454,2818.04,2024-03-29
O000455,C0455,2835.7,2024-03-30
O000456,C0456,2852.45,2024-03-31
O000457,C0457,2869.72,2024-04-01
O000458,C0458,2886.61,2024-04-02
O000459,C0459,2903.4,2024-04-03
O000460,C0460,2920.87,2024-04-04
O000461,C0461,2937.13,2024-04-05
O000462,C0462,2954.96,2024-04-06
O000463,C0463,2971.09,2024-04-07
O000464,C0464,2988.97,2024-04-08
O000465,C0465,3005.59,2024-04-09
O000466,C0466,3022.45,2024-04-10
O000467,C0467,3039.94,2024-04-11
O000468,C0468,3056.51,2024-04-12
O000469,C0469,3073.51,2024-04-13
O000470,C0470,3090.06,2024-04-14
O000471,C0471,3107.8,2024-04-15
O000472,C0472,3124.64,2024-04-16
O000473,C0473,3141.24,2024-04-17
O000474,C0474,3158.11,2024-04-18
O000475,C0475,3175.42,2024-04-19
O000476,C0476,3192.94,2024-04-20
O000477,C0477,3209.87,2024-04-21
O000478,C0478,3226.47,2024-04-22
O000479,C0479,3243.04,2024-04-23
O000480,C0480,3260.83,2024-04-24
O000481,C0481,3277.2,2024-04-25
O000482,C0482,3294.73,2024-04-26
O000483,C0483,3311.5,2024-04-27
O000484,C0484,3328.96,2024-04-28
O000485,C0485,3345.15,2024-04-29
O000486,C0486,3362.79,2024-04-30
O000487,C0487,3379.72,2024-05-01
O000488,C0488,3396.02,2024-05-02
O000489,C0489,3413.57,2024-05-03
O000490,C0490,3430.29,2024-05-04
O000491,C0491,3447.7,2024-05-05
O000492,C0492,3464.96,2024-05-06
O000493,C0493,3481.67,2024-05-07
O000494,C0494,3498.49,2024-05-08
O000495,C0495,3515.6,2024-05-09
O000496,C0496,3532.25,2024-05-10
O000497,C0497,3549.47,2024-05-11
O000498,C0498,3566.12,2024-05-12
O000499,C0499,3583.72,2024-05-13
O000500,C0500,3600.07,2024-05-14
O000501,C0501,3617.53,2024-05-15
O000502,C0502,3634.18,2024-05-16
O000503,C0503,3651.56,2024-05-17
O000504,C0504,3668.06,2024-05-18
O000505,C0505,3685.03,2024-05-19
O000506,C0506,3702.62,2024-05-20
O000507,C0507,3719.72,2024-05-21
O000508,C0508,3736.89,2024-05-22
O000509,C0509,3753.68,2024-05-23
O000510,C0510,3771.0,2024-05-24
O000511,C0511,3787.14,2024-05-25
O000512,C0512,3804.63,2024-05-26
O000513,C0513,3821.64,2024-05-27
O000514,C0514,3838.18,2024-05-28
O000515,C0515,3855.14,2024-05-29
O000516,C0516,3872.24,2024-05-30
O000517,C0517,3889.52,2024-05-31
O000518,C0518,3906.79,2024-06-01
O000519,C0519,3923.71,2024-06-02
O000520,C0520,3940.57,2024-06-03
O000521,C0521,3957.08,2024-06-04
O000522,C0522,3974.72,2024-06-05
O000523,C0523,3991.51,2024-06-06
O000524,C0524,4008.17,2024-06-07
O000525,C0525,4025.62,2024-06-08
O000526,C0526,4042.25,2024-06-09
O000527,C0527,4059.31,2024-06-10
O000528,C0528,4076.45,2024-06-11
O000529,C0529,4093.75,2024-06-12
O000530,C0530,4110.11,2024-06-13
O000531,C0531,4127.44,2024-06-14
O000532,C0532,4144.24,2024-06-15
O000533,C0533,4161.67,2024-06-16
O000534,C0534,4178.82,2024-06-17
O000535,C0535,4195.26,2024-06-18
O000536,C0536,4212.72,2024-06-19
O000537,C0537,4229.46,2024-06-20
O000538,C0538,4246.22,2024-06-21
O000539,C0539,4263.28,2024-06-22
O000540,C0540,4280.54,2024-06-23
O000541,C0541,4297.81,2024-06-24
O000542,C0542,4314.6,2024-06-25
O000543,C0543,4331.0,2024-06-26
O000544,C0544,4348.78,2024-06-27
O000545,C0545,4365.58,2024-06-28
O000546,C0546,4382.42,2024-06-29
O000547,C0547,4399.24,2024-06-30
O000548,C0548,4416.44,2024-07-01
O000549,C0549,4433.69,2024-07-02
O000550,C0550,4450.27,2024-07-03
O000551,C0551,4467.14,2024-07-04
O000552,C0552,4484.88,2024-07-05
O000553,C0553,4501.44,2024-07-06
O000554,C0554,4518.07,2024-07-07
O000555,C0555,4535.89,2024-07-08
O000556,C0556,4552.11,2024-07-09
O000557,C0557,4569.36,2024-07-10
O000558,C0558,4586.62,2024-07-11
O000559,C0559,4603.66,2024-07-12
O000560,C0560,4620.9,2024-07-13
O000561,C0561,4637.18,2024-07-14
O000562,C0562,4654.57,2024-07-15
O000563,C0563,4671.88,2024-07-16
O000564,C0564,4688.47,2024-07-17
O000565,C0565,4705.71,2024-07-18
O000566,C0566,4722.47,2024-07-19
O000567,C0567,4739.72,2024-07-20
O000568,C0568,4756.96,2024-07-21
O000569,C0569,4773.34,2024-07-22
O000570,C0570,4790.74,2024-07-23
O000571,C0571,4807.34,2024-07-24
O000572,C0572,4824.89,2024-07-25
O000573,C0573,4841.76,2024-07-26
O000574,C0574,4858.86,2024-07-27
O000575,C0575,4875.87,2024-07-28
O000576,C0576,4892.6,2024-07-29
O000577,C0577,4909.95,2024-07-30
O000578,C0578,4926.16,2024-07-31
O000579,C0579,4943.57,2024-08-01
O000580,C0580,4960.07,2024-08-02
O000581,C0581,4977.58,2024-08-03
O000582,C0582,4994.69,2024-08-04
O000583,C0583,61.29,2024-08-05
O000584,C0584,78.81,2024-08-06
O000585,C0585,95.42,2024-08-07
O000586,C0586,112.2,2024-08-08
O000587,C0587,129.19,2024-08-09
O000588,C0588,146.58,2024-08-10
O000589,C0589,163.38,2024-08-11
O000590,C0590,180.05,2024-08-12
O000591,C0591,197.31,2024-08-13
O000592,C0592,214.97,2024-08-14
O000593,C0593,231.47,2024-08-15
O000594,C0594,248.68,2024-08-16
O000595,C0595,265.43,2024-08-17
O000596,C0596,282.07,2024-08-18
O000597,C0597,299.61,2024-08-19
O000598,C0598,316.21,2024-08-20
O000599,C0599,333.12,2024-08-21
O000600,C0600,350.62,2024-08-22
O000601,C0601,367.68,2024-08-23
O000602,C0602,384.01,2024-08-24
O000603,C0603,401.95,2024-08-25
O000604,C0604,418.02,2024-08-26
O000605,C0605,435.17,2024-08-27
O000606,C0606,452.33,2024-08-28
O000607,C0607,469.8,2024-08-29
O000608,C0608,486.74,2024-08-30
O000609,C0609,503.74,2024-08-31
O000610,C0610,520.43,2024-09-01
O000611,C0611,537.91,2024-09-02
O000612,C0612,554.13,2024-09-03
O000613,C0613,571.96,2024-09-04
O000614,C0614,588.05,2024-09-05
O000615,C0615,605.15,2024-09-06
O000616,C0616,622.75,2024-09-07
O000617,C0617,639.77,2024-09-08
O000618,C0618,656.67,2024-09-09
O000619,C0619,673.25,2024-09-10
O000620,C0620,690.87,2024-09-11
O000621,C0621,707.52,2024-09-12
O000622,C0622,724.21,2024-09-13
O000623,C0623,741.1,2024-09-14
O000624,C0624,758.99,2024-09-15
O000625,C0625,775.06,2024-09-16
O000626,C0626,792.22,2024-09-17
O000627,C0627,809.36,2024-09-18
O000628,C0628,826.89,2024-09-19
O000629,C0629,843.83,2024-09-20
O000630,C0630,860.84,2024-09-21
O000631,C0631,877.63,2024-09-22
O000632,C0632,894.01,2024-09-23
O000633,C0633,911.74,2024-09-24
O000634,C0634,928.19,2024-09-25
O000635,C0635,945.95,2024-09-26
O000636,C0636,962.97,2024-09-27
O000637,C0637,979.07,2024-09-28
O000638,C0638,996.73,2024-09-29
O000639,C0639,1013.24,2024-09-30
O000640,C0640,1030.1,2024-10-01
O000641,C0641,1047.87,2024-10-02
O000642,C0642,1064.44,2024-10-03
O000643,C0643,1081.29,2024-10-04
O000644,C0644,1098.56,2024-10-05
O000645,C0645,1115.06,2024-10-06
O000646,C0646,1132.42,2024-10-07
O000647,C0647,1149.65,2024-10-08
O000648,C0648,1166.86,2024-10-09
O000649,C0649,1183.12,2024-10-10
O000650,C0650,1200.89,2024-10-11
O000651,C0651,1217.11,2024-10-12
O000652,C0652,1234.21,2024-10-13
O000653,C0653,1251.33,2024-10-14
O000654,C0654,1268.17,2024-10-15
O000655,C0655,1285.09,2024-10-16
O000656,C0656,1302.66,2024-10-17
O000657,C0657,1319.4,2024-10-18
O000658,C0658,1336.19,2024-10-19
O000659,C0659,1353.51,2024-10-20
O000660,C0660,1370.12,2024-10-21
O000661,C0661,1387.68,2024-10-22
O000662,C0662,1404.96,2024-10-23
O000663,C0663,1421.47,2024-10-24
O000664,C0664,1438.42,2024-10-25
O000665,C0665,1455.4,2024-10-26
O000666,C0666,1472.37,2024-10-27
O000667,C0667,1489.41,2024-10-28
O000668,C0668,1506.18,2024-10-29
O000669,C0669,1523.3,2024-10-30
O000670,C0670,1540.69,2024-10-31
O000671,C0671,1557.48,2024-11-01
O000672,C0672,1574.07,2024-11-02
O000673,C0673,1591.15,2024-11-03
O000674,C0674,1608.84,2024-11-04
O000675,C0675,1625.35,2024-11-05
O000676,C0676,1642.83,2024-11-06
O000677,C0677,1659.62,2024-11-07
O000678,C0678,1676.63,2024-11-08
O000679,C0679,1693.36,2024-11-09
O000680,C0680,1710.58,2024-11-10
O000681,C0681,1727.41,2024-11-11
O000682,C0682,1744.52,2024-11-12
O000683,C0683,1761.94,2024-11-13
O000684,C0684,1778.11,2024-11-14
O000685,C0685,1795.21,2024-11-15
O000686,C0686,1812.9,2024-11-16
O000687,C0687,1829.93,2024-11-17
O000688,C0688,1846.81,2024-11-18
O000689,C0689,1863.86,2024-11-19
O000690,C0690,1880.1,2024-11-20
O000691,C0691,1897.72,2024-11-21
O000692,C0692,1914.12,2024-11-22
O000693,C0693,1931.85,2024-11-23
O000694,C0694,1948.4,2024-11-24
O000695,C0695,1965.49,2024-11-25
O000696,C0696,1982.52,2024-11-26
O000697,C0697,1999.21,2024-11-27
O000698,C0698,2016.57,2024-11-28
O000699,C0699,2033.86,2024-11-29
O000700,C0700,2050.45,2024-11-30
O000701,C0701,2067.44,2024-12-01
O000702,C0702,2084.37,2024-12-02
O000703,C0703,2101.19,2024-12-03
O000704,C0704,2118.28,2024-12-04
O000705,C0705,2135.84,2024-12-05
